ID,Class
5,children_playing
7,engine_idling
8,air_conditioner
9,jackhammer
13,jackhammer
14,siren
16,engine_idling
21,siren
23,dog_bark
25,street_music
28,drilling
29,engine_idling
30,car_horn
31,gun_shot
34,children_playing
39,children_playing
41,engine_idling
51,dog_bark
53,jackhammer
55,dog_bark
58,engine_idling
62,engine_idling
64,siren
69,siren
70,street_music
73,street_music
75,street_music
85,engine_idling
86,engine_idling
89,jackhammer
94,children_playing
95,street_music
96,dog_bark
98,engine_idling
102,jackhammer
106,children_playing
107,street_music
108,air_conditioner
109,children_playing
110,engine_idling
111,engine_idling
112,street_music
115,engine_idling
122,street_music
124,siren
126,dog_bark
127,engine_idling
129,car_horn
133,jackhammer
141,children_playing
143,jackhammer
144,engine_idling
145,engine_idling
147,street_music
150,engine_idling
151,children_playing
154,gun_shot
155,car_horn
156,gun_shot
157,children_playing
158,dog_bark
161,gun_shot
166,air_conditioner
169,drilling
173,gun_shot
177,jackhammer
180,air_conditioner
181,engine_idling
183,drilling
190,jackhammer
191,dog_bark
194,air_conditioner
195,siren
198,dog_bark
199,air_conditioner
201,engine_idling
203,siren
204,engine_idling
205,air_conditioner
206,engine_idling
207,engine_idling
209,street_music
210,jackhammer
220,jackhammer
225,jackhammer
231,engine_idling
234,siren
237,engine_idling
238,street_music
240,engine_idling
241,engine_idling
243,dog_bark
244,gun_shot
254,street_music
256,engine_idling
257,dog_bark
259,dog_bark
262,engine_idling
265,street_music
266,siren
267,street_music
273,jackhammer
274,engine_idling
279,children_playing
281,jackhammer
283,drilling
284,drilling
287,dog_bark
289,air_conditioner
290,dog_bark
291,street_music
292,car_horn
293,engine_idling
294,children_playing
296,engine_idling
297,siren
298,dog_bark
302,jackhammer
320,engine_idling
321,siren
325,street_music
340,dog_bark
341,dog_bark
344,jackhammer
345,engine_idling
362,siren
373,engine_idling
375,dog_bark
379,air_conditioner
384,jackhammer
387,engine_idling
389,engine_idling
390,jackhammer
393,drilling
398,air_conditioner
399,air_conditioner
403,engine_idling
404,siren
405,air_conditioner
409,engine_idling
415,engine_idling
416,gun_shot
420,street_music
421,street_music
422,children_playing
424,air_conditioner
431,jackhammer
432,engine_idling
433,siren
434,drilling
439,air_conditioner
441,air_conditioner
443,jackhammer
448,jackhammer
451,air_conditioner
458,street_music
460,engine_idling
463,jackhammer
465,street_music
466,dog_bark
469,engine_idling
476,jackhammer
478,children_playing
481,children_playing
483,engine_idling
487,engine_idling
490,engine_idling
492,children_playing
494,siren
496,air_conditioner
499,engine_idling
502,children_playing
503,jackhammer
504,street_music
505,dog_bark
508,street_music
510,engine_idling
514,street_music
517,engine_idling
518,street_music
521,jackhammer
526,dog_bark
529,air_conditioner
530,dog_bark
531,siren
535,engine_idling
536,car_horn
539,jackhammer
541,drilling
545,street_music
546,engine_idling
548,street_music
550,jackhammer
552,engine_idling
553,siren
558,engine_idling
563,street_music
574,jackhammer
577,street_music
581,children_playing
582,street_music
588,engine_idling
591,air_conditioner
592,street_music
595,street_music
596,car_horn
601,jackhammer
602,drilling
608,jackhammer
609,dog_bark
616,dog_bark
617,engine_idling
618,engine_idling
625,siren
626,engine_idling
627,street_music
628,engine_idling
632,dog_bark
634,dog_bark
637,air_conditioner
638,siren
640,engine_idling
641,engine_idling
644,engine_idling
647,dog_bark
649,siren
650,air_conditioner
653,street_music
667,dog_bark
668,engine_idling
672,engine_idling
674,jackhammer
675,air_conditioner
678,jackhammer
680,engine_idling
681,engine_idling
682,engine_idling
696,engine_idling
700,street_music
701,street_music
706,siren
707,jackhammer
708,street_music
711,street_music
715,street_music
718,siren
723,street_music
725,children_playing
731,jackhammer
736,street_music
741,car_horn
743,engine_idling
745,siren
747,engine_idling
756,jackhammer
759,siren
762,drilling
763,siren
767,car_horn
768,air_conditioner
769,jackhammer
774,engine_idling
775,dog_bark
777,street_music
779,street_music
781,drilling
782,jackhammer
786,jackhammer
788,children_playing
789,jackhammer
793,children_playing
795,engine_idling
797,siren
800,engine_idling
805,jackhammer
806,dog_bark
808,jackhammer
814,street_music
815,drilling
818,children_playing
822,children_playing
823,dog_bark
827,dog_bark
828,dog_bark
831,dog_bark
836,street_music
837,dog_bark
842,jackhammer
846,street_music
847,engine_idling
852,engine_idling
856,siren
861,jackhammer
862,jackhammer
866,street_music
873,engine_idling
877,street_music
879,jackhammer
880,children_playing
888,engine_idling
890,siren
895,air_conditioner
897,engine_idling
902,street_music
903,street_music
908,jackhammer
909,engine_idling
910,street_music
917,drilling
918,jackhammer
920,car_horn
924,engine_idling
931,dog_bark
934,dog_bark
935,children_playing
936,siren
939,jackhammer
940,car_horn
942,air_conditioner
944,dog_bark
947,street_music
949,engine_idling
950,siren
958,engine_idling
960,children_playing
961,street_music
962,gun_shot
966,jackhammer
967,dog_bark
968,street_music
969,street_music
970,street_music
974,car_horn
976,engine_idling
981,drilling
982,air_conditioner
983,street_music
984,gun_shot
988,children_playing
989,drilling
992,children_playing
993,dog_bark
994,engine_idling
997,engine_idling
998,children_playing
999,engine_idling
1002,gun_shot
1005,siren
1009,dog_bark
1010,car_horn
1011,drilling
1012,dog_bark
1013,children_playing
1016,children_playing
1019,dog_bark
1020,children_playing
1023,dog_bark
1031,car_horn
1033,dog_bark
1035,engine_idling
1037,engine_idling
1039,engine_idling
1041,siren
1046,engine_idling
1050,engine_idling
1053,engine_idling
1057,dog_bark
1060,street_music
1064,street_music
1065,air_conditioner
1067,children_playing
1073,drilling
1075,engine_idling
1081,air_conditioner
1084,dog_bark
1086,dog_bark
1093,air_conditioner
1094,engine_idling
1095,engine_idling
1097,dog_bark
1099,engine_idling
1101,air_conditioner
1102,dog_bark
1103,siren
1104,jackhammer
1107,drilling
1108,engine_idling
1109,children_playing
1110,street_music
1111,engine_idling
1114,dog_bark
1117,dog_bark
1121,dog_bark
1122,engine_idling
1123,jackhammer
1124,engine_idling
1125,engine_idling
1127,engine_idling
1128,dog_bark
1130,siren
